word,part_of_speech,category,meaning,question_id, part_of_speech,Category,part_of_practice,example,object,part_of speech
the Universal Declaration of Human Rights,DET,LAW,"A foundational document that outlines fundamental human rights and freedoms for all individuals, regardless of nationality, race, religion, or other status.",81,,,,,,
therein,ADV,,Within the document or text previously mentioned.,81,,,,,,
well,ADJ,,In a good or satisfactory manner; properly.,81,,,,,,
world,NOUN,technical term,Global society and its issues,81,,,,,,
worth,NOUN,technical term,Value of human life and dignity,81,,,,,,
Charter,PROPN,organization name,A formal document establishing the rules and principles of an organization.,82,,,,,,
Convention,PROPN,organization name,An official agreement or treaty between nations or parties.,82,,,,,,
Parties,PROPN,organization name,The involved groups or individuals in an agreement or situation.,82,,,,,,
States,PROPN,organization name,Independent political entities with defined territories and governments.,82,,,,,,
access,NOUN,technical term,The ability to obtain or make use of something.,82,,,,,,
accord,VERB,technical term,To agree on or reach an understanding about something.,82,,,,,,
accordance,NOUN,technical term,"Conformity with rules, principles, or agreements.",82,,,,,,
agree,VERB,technical term,To have the same opinion or reach a consensus on something.,82,,,,,,
bear,VERB,technical term,"To endure, tolerate, or withstand something.",82,,,,,,
birth,NOUN,technical term,The beginning or origin of something.,82,,,,,,
colour,NOUN,technical term, Visual perception,82,,,,,,
consider,VERB,no category found , To think carefully about something.,82,,,,,,
determine,VERB,no category found,to make a decision or judgement,82,,,,,,
dignity,NOUN,higher concept,the quality of being worthy of respect.,82,,,,,,
distinction,NOUN,higher concept,The act or state of recognizing a difference,82,,,,,,
education,NOUN,higher concept,The process of learning.,82,,,,,,
entitle,VERB,no category found,To give someone the right to do something,82,,,,,,
equal,ADJ,higher concept,The same in amount or degree.,82,,,,,,
faith,NOUN,higher concept,Complete trust or confidence,82,,,,,,
family,NOUN,no category found,"A group of people related by blood, marriage, or adoption. ",82,,,,,,
foundation,NOUN,technical term,concept that underlies something,82,,,,,,
freedom,NOUN,technical term,state of being free from restrictions or control,82,,,,,,
fundamental,ADJ,technical term,forming the basis or foundation of something,82,,,,,,
human,ADJ,technical term,relating to humans,82,,,,,,
inalienable,ADJ,technical term,not able to be taken away or given up,82,,,,,,
inherent,ADJ,technical term,"existing in something as a permanent, essential, or characteristic attribute",82,,,,,,
justice,NOUN,technical term,the quality of being fair and impartial,82,,,,,,
kind,NOUN,technical term,a type or category of something,82,,,,,,
language,NOUN,technical term,"a system of communication through speech, writing or signs",82,,,,,,
have,VERB,Technical Term,To possess or own something.,82,,,,,,
large,ADJ,technical term,size,82,,,,,,
life,NOUN,organization name,A human being's existence,82,,,,,,
member,NOUN,technical term,a part of a group,82,,,,,,
mind,NOUN,individual name,The human consciousness,82,,,,,,
movement,NOUN,technical term,change or progress in a specific direction,82,,,,,,
national,ADJ,individual name,Related to a country,82,,,,,,
opinion,NOUN,technical term,A belief or judgment,82,,,,,,
origin,NOUN,individual name,The beginning or source of something,82,,,,,,
other,ADJ,technical term,Anything not specified previously,82,,,,,,
peace,NOUN,organization name,A state of tranquility and harmony,82,,,,,,
people,NOUN,organization name,Group of individuals,82,,,,,,
person,NOUN,individual name,A human being,82,,,,,,
political,ADJ,technical term,Relating to government or politics,82,,,,,,
present,ADJ,technical term,Existing now or at this time,82,,,,,,
principle,NOUN,technical term,A fundamental truth or proposition,82,,,,,,
proclaim,VERB,technical term,To announce something publicly,82,,,,,,
progress,NOUN,technical term,Forward or onward movement towards a goal,82,,,,,,
promote,VERB,technical term,To encourage or support something,82,,,,,,
property,NOUN,technical term,Something that is owned,82,,,,,,
race,NOUN,technical term,Social division based on physical characteristics.,82,,,,,,
reaffirm,VERB,technical term,"To strengthen or reinforce a belief, principle, or commitment.",82,,,,,,
recognition,NOUN,technical term,The action of acknowledging or accepting something as valid.,82,,,,,,
recognize,VERB,technical term,To identify or acknowledge something or someone.,82,,,,,,
religion,NOUN,technical term,"A system of beliefs and practices related to the supernatural, often involving rituals and moral codes.",82,,,,,,
right,NOUN,technical term,A fundamental entitlement or privilege that is considered to be inherent to all individuals.,82,,,,,,
set,VERB,technical term,To establish or determine something.,82,,,,,,
sex,NOUN,technical term,The biological and anatomical characteristics that distinguish males and females.,82,,,,,,
social,ADJ,technical term,Relating to or involving society or its interactions.,82,,,,,,
standard,NOUN,technical term,A set of criteria or measurements used as a basis for comparison or assessment.,82,,,,,,
status,NOUN,technical term,The position or rank held by a person or group in society.,82,,,,,,
such,ADJ,Technical Term,Defining a specific group or characteristic,82,,,,,,
text,NOUN,Technical Term,Written or spoken communication,82,,,,,,
the International Covenants on Human Rights,DET,ORG,Set of agreements regarding human rights,82,,,,,,
the United Nations,DET,ORG,International organization dedicated to maintaining peace and security,82,,,,,,
the Universal Declaration of Human Rights,DET,LAW,Foundation document for international human rights law,82,,,,,,
therein,ADV,Technical Term,Referring to the content within a specific document,82,,,,,,
wealth,NOUN,Other,Material possessions or resources,82,,,,,,
well,ADJ,Other,In a good manner,82,,,,,,
world,NOUN,Other,The global community or planet,82,,,,,,
worth,NOUN,Other,Inherent value or importance,82,,,,,,
Charter,PROPN,organization name,International governing body,83,,,,,,
Convention,PROPN,agreement,Formal agreement between nations,83,,,,,,
Parties,PROPN,organization name,Nations participating in an agreement,83,,,,,,
States,PROPN,organization name,Sovereign nations,83,,,,,,
accord,VERB,none,To agree or come to an understanding,83,,,,,,
accordance,NOUN,none,Agreement or conformity,83,,,,,,
agree,VERB,none,To have the same opinion,83,,,,,,
bear,VERB,none,To carry or hold responsibility,83,,,,,,
birth,NOUN,none,Moment of creation,83,,,,,,
certain,ADJ,none,Specific or particular,83,,,,,,
colour,NOUN,technical term,Visual perception based on light spectrum,83,,,,,,
consider,VERB,none,To reflect upon or ponder something,83,,,,,,
country,NOUN,organization name,Sovereign states with defined territories and governments,83,,,,,,
declare,VERB,none,To formally state or announce something,83,,,,,,
determine,VERB,none,To come to a decision or conclusion,83,,,,,,
dignity,NOUN,technical term,Inherent worth and respect due to all individuals,83,,,,,,
distinction,NOUN,technical term,Recognition of differences or qualities that set things apart,83,,,,,,
economic,ADJ,technical term,"Relating to the production, distribution, and consumption of goods and services",83,,,,,,
entitle,VERB,none,To give someone a right or title to something,83,,,,,,
equal,ADJ,technical term,"Having the same value, amount, or status",83,,,,,,
faith,NOUN,organization name,Trust in established principles,83,,,,,,
family,NOUN,individual name,Group of interconnected individuals,83,,,,,,
foundation,NOUN,technical term,Base or origin of something,83,,,,,,
freedom,"NOUN, VERB",technical term,State of being unrestrained,83,,,,,,
fundamental,ADJ,technical term,Essential or primary,83,,,,,,
group,NOUN,organization name,Collection of individuals with common interests,83,,,,,,
have,VERB,technical term,To possess or experience,83,,,,,,
human,ADJ,individual name,Relating to humans,83,,,,,,
inalienable,ADJ,technical term,Impossible to take away or transfer,83,,,,,,
inherent,ADJ,technical term,"Existing in something as a permanent, essential, or characteristic attribute",83,,,,,,
justice,NOUN,technical term,"Fairness, righteousness",83,,,,,,
kind,NOUN,technical term,"Compassionate, benevolent",83,,,,,,
language,NOUN,technical term,Means of communication,83,,,,,,
large,ADJ,technical term,Significant size or quantity,83,,,,,,
life,NOUN,technical term,"Existence, biological processes",83,,,,,,
limit,VERB,technical term,"Constraint, restriction",83,,,,,,
member,NOUN,technical term,"Participant, constituent part",83,,,,,,
mind,NOUN,technical term,"Cognitive abilities, intellect",83,,,,,,
national,ADJ,technical term,Relating to a nation or country,83,,,,,,
only,ADV,technical term,"Exclusively, solely",83,,,,,,
opinion,NOUN,Other,Beliefs or judgments,83,,,,,,
origin,NOUN,Other,Place or source of something,83,,,,,,
other,ADJ,Other,Different from what has been mentioned,83,,,,,,
peace,NOUN,Higher-Level Concepts,Absence of conflict or war,83,,,,,,
people,NOUN,Individual Name,Humans in general,83,,,,,,
person,NOUN,Individual Name,Human being,83,,,,,,
policy,NOUN,Higher-Level Concepts,Plan of action,83,,,,,,
political,ADJ,Higher-Level Concepts,Relating to government or politics,83,,,,,,
present,ADJ,Other,"Current, existing",83,,,,,,
principle,NOUN,Higher-Level Concepts,Basic truth or belief,83,,,,,,
proclaim,VERB,technical term,to declare or announce something formally,83,,,,,,
progress,NOUN,technical term,forward movement or development,83,,,,,,
promote,VERB,technical term,to support or encourage something,83,,,,,,
property,NOUN,technical term,(law) ownership of a tangible or intangible asset,83,,,,,,
race,NOUN,technical term,a competitive contest between individuals or groups,83,,,,,,
reaffirm,VERB,technical term,"to state or assert something again, with even greater emphasis",83,,,,,,
recognition,NOUN,technical term,the act of recognizing or acknowledging the existence or validity of something,83,,,,,,
recognize,VERB,technical term,to acknowledge or identify someone or something,83,,,,,,
relation,NOUN,technical term,a connection or association between two or more people or things,83,,,,,,
religion,NOUN,technical term,"a system of beliefs and practices related to the supernatural, usually involving a specific set of deities and rituals",83,,,,,,
right,NOUN,technical term,Fundamental entitlement or legal protection granted to individuals,83,,,,,,
role,NOUN,technical term,Function or purpose within a system or organization,83,,,,,,
set,VERB,technical term,To establish or define a specific group or collection,83,,,,,,
sex,NOUN,technical term,Biological classification based on reproductive anatomy and characteristics,83,,,,,,
social,ADJ,technical term,Relating to or characteristic of human society and interaction,83,,,,,,
standard,NOUN,technical term,"Established norm or criteria for quality, performance, or measurement",83,,,,,,
status,NOUN,technical term,Position or rank relative to others within a social hierarchy,83,,,,,,
such,ADJ,technical term,Of the kind or nature previously mentioned or exemplified,83,,,,,,
text,NOUN,technical term,Written or printed matter conveying information or expression,83,,,,,,
the International Covenants on Human Rights,noun,Organizational Name,International agreement focused on human rights,83,,,,,,
therein,ADV,,Within the document,83,,,,,,
violate,VERB,,Break a rule or agreement,83,,,,,,
war,NOUN,,Conflict between nations,83,,,,,,
world,NOUN,,Global sphere,83,,,,,,
the United Nations,DET,ORG,International Organization,83,,,,,,
well,ADJ,,In a good way,83,,,,,,
worth,NOUN,,Value,83,,,,,,
Charter,PROPN,Organization Name,International Agreements/Treaties,84,,,,,,
Convention,PROPN,Organization Name,International Agreements/Treaties,84,,,,,,
Parties,PROPN,Organization Name,Nations or Groups Involved in Treaties,84,,,,,,
States,PROPN,Organization Name,Countries,84,,,,,,
accord,VERB,Technical Term,"agreement, consent",84,,,,,,
accordance,NOUN,Technical Term,"Compliance, Agreement with rules or principles",84,,,,,,
agree,VERB,Technical Term,To come to a consensus or agreement,84,,,,,,
appearance,NOUN,Technical Term,Visual presentation or demeanor,84,,,,,,
basis,NOUN,Technical Term,"Foundation, underlying principle",84,,,,,,
bear,VERB,Technical Term,To carry or support the weight of something,84,,,,,,
birth,NOUN,technical term,Biological concept,84,,,,,,
colour,NOUN,technical term,Visual quality,84,,,,,,
consider,VERB,technical term,Mental process of reflection,84,,,,,,
determine,VERB,technical term,To make a decision,84,,,,,,
dignity,NOUN,organization name,Respect and value of an individual,84,,,,,,
distinction,NOUN,technical term,Difference or contrast,84,,,,,,
distinguish,VERB,technical term,To perceive the difference between,84,,,,,,
entitle,VERB,technical term,To grant a right or privilege,84,,,,,,
equal,ADJ,technical term,"Same in value, amount, or degree",84,,,,,,
faith,NOUN,organization name,Belief in something,84,,,,,,
family,NOUN,organization name,"Humanity, people in general",84,,,,,,
following,NOUN,technical term,Criteria or conditions used for distinction,84,,,,,,
foundation,NOUN,organization name,"Base, starting point for something essential",84,,,,,,
freedom,NOUN,technical term,Capability of making choices and acting independently,84,,,,,,
fundamental,ADJ,technical term,"Essential, forming the base for something larger",84,,,,,,
have,VERB,technical term,"To possess, to be entitled to",84,,,,,,
human,ADJ,technical term,"Relating to being human, people",84,,,,,,
inalienable,ADJ,technical term,"Non-transferable, inherent to the individual",84,,,,,,
inherent,ADJ,technnical term,"Innate, existing as a fundamental quality",84,,,,,,
justice,NOUN,technical term,"Fairness, impartial treatment and upholding of rights",84,,,,,,
kind,NOUN,technical term,Type,84,,,,,,
language,NOUN,technical term,Communication System,84,,,,,,
life,NOUN,organization name,Existence,84,,,,,,
member,NOUN,technical term,Part of a Group,84,,,,,,
mind,NOUN,technical term,Cognitive Function,84,,,,,,
opinion,NOUN,technical term,Belief,84,,,,,,
origin,NOUN,technical term,Source,84,,,,,,
large,ADJ,none,,84,,,,,,
mention,VERB,none,,84,,,,,,
national,ADJ,none,,84,,,,,,
other,ADJ,Technical Term,Different types,84,,,,,,
peace,NOUN,Concept,"Tranquility, Harmony",84,,,,,,
people,NOUN,Individual Name,Humans,84,,,,,,
person,NOUN,Individual Name,Human Being,84,,,,,,
physical,ADJ,Technical Term,Relating to the body,84,,,,,,
political,ADJ,Technical Term,Pertaining to Government,84,,,,,,
present,ADJ,Concept,"Existing, Current",84,,,,,,
principle,NOUN,Concept,Fundamental Truth,84,,,,,,
proclaim,VERB,Action,Declare formally,84,,,,,,
progress,NOUN,Concept,"Advancement, Development",84,,,,,,
promote,VERB,Technical Term,Forward social progress,84,,,,,,
property,NOUN,Technical Term,Rightful possession,84,,,,,,
race,NOUN,Organization Name,Group of people with shared ancestry,84,,,,,,
reaffirm,VERB,Technical Term,Strengthen a belief or agreement,84,,,,,,
recognition,NOUN,Organization Name,Acknowledgement of worth or value,84,,,,,,
recognize,VERB,Technical Term,Acknowledge the existence or validity of,84,,,,,,
religion,NOUN,Organization Name,Belief system,84,,,,,,
right,NOUN,Technical Term,Fundamental entitlement,84,,,,,,
set,VERB,Technical Term,Establish a standard or framework,84,,,,,,
sex,NOUN,Organization Name,Biological classification,84,,,,,,
social,ADJ,technical term,relating to human society and its organization,84,,,,,,
standard,NOUN,technical term,an established measure of quality or attainment,84,,,,,,
status,NOUN,technical term,the condition or position occupied by someone or something,84,,,,,,
such,ADJ,,of that kind; as described previously,84,,,,,,
text,NOUN,technical term,written or printed matter,84,,,,,,
the International Covenants on Human Rights,DET,organization name,a set of international treaties defining fundamental human rights,84,,,,,,
the United Nations,DET,organization name,an intergovernmental organization dedicated to maintaining international peace and security,84,,,,,,
the Universal Declaration of Human Rights,DET,technical term,a document outlining fundamental human rights principles,84,,,,,,
therein,ADV,technical term,in that; within those documents or contexts,84,,,,,,
well,ADJ,,good; in satisfactory condition,84,,,,,,
world,NOUN,technical term,Global,84,,,,,,
worth,NOUN,technical term,Value of human life,84,,,,,,
adulthood,NOUN,,Higher-level concept relating to the state of being an adult,85,,,,,,
assistance,NOUN,,Higher-level concept meaning support or help,85,,,,,,
atmosphere,NOUN,,Higher-level concept relating to the mood or feeling of a place,85,,,,,,
care,NOUN,,Higher-level concept relating to attention and protection,85,,,,,,
childhood,NOUN,,Higher-level concept relating to the period of being a child,85,,,,,,
community,NOUN,organization name,Group of people living in the same place,85,,,,,,
accord,VERB,,,85,,,,,,
afford,VERB,,,85,,,,,,
assume,VERB,,,85,,,,,,
child,NOUN,,,85,,,,,,
convince,VERB,technical term,Agreement or Persuasion,85,,,,,,
development,NOUN,technical term,Growth and Change,85,,,,,,
education,NOUN,technical term,Learning and Instruction,85,,,,,,
entitle,VERB,technical term,Granting Rights or Privileges,85,,,,,,
environment,NOUN,technical term,Surroundings and Context,85,,,,,,
family,NOUN,organization name,Social Unit,85,,,,,,
focus,VERB,technical term,Attention and Emphasis,85,,,,,,
full,ADJ,,"Complete or Whole (could apply to environment, development etc.)",85,,,,,,
fully,ADV,,Completely,85,,,,,,
fundamental,ADJ,technical term,Essential or Basic,85,,,,,,
group,NOUN,organization name,A collection of individuals forming a unit.,85,,,,,,
grow,VERB,,To develop or expand.,85,,,,,,
growth,NOUN,,The process of developing or increasing in size.,85,,,,,,
happiness,NOUN,,A state of well-being and contentment,85,,,,,,
harmonious,ADJ,,Characterized by agreement and peacefulness.,85,,,,,,
ignore,VERB,,To disregard or pay no attention to.,85,,,,,,
important,ADJ,,Of great significance or value.,85,,,,,,
less,ADV,,To a smaller extent or degree.,85,,,,,,
love,NOUN,,A deep and tender feeling of affection for another person.,85,,,,,,
member,NOUN,organization name,A person who is part of a group or organization.,85,,,,,,
natural,ADJ,technical term,Relating to or characterized by nature,85,,,,,,
necessary,ADJ,technical term,Essential or indispensable,85,,,,,,
only,ADV,technical term,Solely or exclusively,85,,,,,,
particularly,ADV,technical term,To a greater extent or degree than usual,85,,,,,,
personality,NOUN,technical term,The complex set of characteristics that make up an individual,85,,,,,,
proclaim,VERB,,To declare or announce formally,85,,,,,,
protection,NOUN,organization name,The act of safeguarding or defending from harm,85,,,,,,
recall,VERB,,To remember or bring back to mind,85,,,,,,
recognize,VERB,technical term,To identify or acknowledge officially,85,,,,,,
responsibility,NOUN,organization name,The duty or obligation to act in a certain way,85,,,,,,
society,NOUN,Organization Name,Community of people with shared interests,85,,,,,,
special,ADJ,,"Distinct or unique in nature, important and requiring attention",85,,,,,,
text,NOUN,Technical Term,Written or printed communication,85,,,,,,
the United Nations,DET,Organization Name,International organization promoting peace and cooperation,85,,,,,,
the Universal Declaration of Human Rights,DET,LAW,International document outlining fundamental human rights,85,,,,,,
understanding,NOUN,,"Knowledge gained through experience or learning, comprehension of ideas",85,,,,,,
well-being,NOUN,,"State of being healthy and content, flourishing in all aspects of life",85,,,,,,
afford,VERB,technical term,To provide resources or support needed,86,,,,,,
assistance,NOUN,technical term,Help given to someone in need,86,,,,,,
assume,VERB,technical term,To take on a role or responsibility,86,,,,,,
atmosphere,NOUN,technical term,Mood or feeling surrounding a situation,86,,,,,,
care,NOUN,technical term,Protection and concern for well-being,86,,,,,,
child,NOUN,individual name,A young person,86,,,,,,
childhood,NOUN,technical term,The stage of life during childhood,86,,,,,,
community,NOUN,organization name,A group of people living in the same place,86,,,,,,
convince,VERB,technical term,To persuade someone to believe something,86,,,,,,
development,NOUN,technical term,Growth and progress,86,,,,,,
entitle,VERB,technical term,granting rights or privileges,86,,,,,,
environment,NOUN,technical term,conditions or surroundings in which something exists or operates,86,,,,,,
family,NOUN,organization name,a unit consisting of parents and their children living together,86,,,,,,
full,ADJ,technical term,complete or thorough,86,,,,,,
fully,ADV,,completely or entirely,86,,,,,,
fundamental,ADJ,technical term,forming a necessary base or core; of central importance,86,,,,,,
government,NOUN,organization name,"the governing body of a nation, state, or community",86,,,,,,
group,NOUN,organization name,a number of persons or things collected together,86,,,,,,
grow,VERB,,to increase in size or amount,86,,,,,,
growth,NOUN,technical term,the process of increasing in size or amount,86,,,,,,
happiness,NOUN,technical term,Emotional well-being,86,,,,,,
harmonious,ADJ,technical term,"Concordant, Peaceful",86,,,,,,
identify,VERB,technical term,Recognize or specify,86,,,,,,
love,NOUN,technical term,"Affection, sentiment",86,,,,,,
member,NOUN,organization name,"Participant, constituent",86,,,,,,
natural,ADJ,technical term,"Intrinsic, inherent",86,,,,,,
necessary,ADJ,technical term,"Essential, indispensable",86,,,,,,
particularly,ADV,organization name,"Specially, Notably",86,,,,,,
peer,NOUN,organization name,"Compadre, Contemporary",86,,,,,,
personality,NOUN,technical term,"Character, Temperament",86,,,,,,
proclaim,VERB,organization name,Make a formal announcement or statement,86,,,,,,
protection,NOUN,technical term,The state of being shielded from harm,86,,,,,,
recall,VERB,individual name,Remind oneself or others of something previously known,86,,,,,,
recognize,VERB,technical term,To identify and understand something as being familiar or relevant,86,,,,,,
responsibility,NOUN,technical term,The duty to perform something responsibly,86,,,,,,
school,NOUN,organization name,An institution for teaching children,86,,,,,,
society,NOUN,organization name,A group of people living together in an organized community,86,,,,,,
special,ADJ,technical term,Different from what is usual or expected,86,,,,,,
text,NOUN,technical term,Written or printed matter conveying information,86,,,,,,
the United Nations,DET,ORG,International Organization,86,,,,,,
understanding,NOUN,,"Knowledge, comprehension",86,,,,,,
well-being,NOUN,,State of happiness and prosperity,86,,,,,,
care,NOUN,technical term,Well-being,87,,,,,,
assistance,NOUN,technical term,Support,87,,,,,,
community,NOUN,organization name,Social group,87,,,,,,
atmosphere,NOUN,technical term,Environment,87,,,,,,
childhood,NOUN,technical term,Developmental period,87,,,,,,
More,ADJ,technical term,increased amount or level,87,,,,,,
advanced,ADJ,technical term,highly developed or sophisticated,87,,,,,,
afford,VERB,organization name,to provide resources or support,87,,,,,,
assume,VERB,individual name,to take on a role or responsibility,87,,,,,,
child,NOUN,organization name,young person,87,,,,,,
convince,VERB,Technical Term,"Persuasion, Advocacy",87,,,,,,
development,NOUN,Technical Term,"Growth, Advancement",87,,,,,,
education,NOUN,Technical Term,"Learning, Instruction",87,,,,,,
entitle,VERB,Technical Term,"Right, Grant",87,,,,,,
environment,NOUN,Technical Term,"Surroundings, Context",87,,,,,,
family,NOUN,Organization Name,"Social Unit, Kinship",87,,,,,,
financial,ADJ,Technical Term,"Monetary, Economic",87,,,,,,
fundamental,ADJ,Technical Term,"Basic, Core",87,,,,,,
full,ADJ,,,87,,,,,,
fully,ADV,,,87,,,,,,
group,NOUN,organization name,A social unit of people,87,,,,,,
grow,VERB,technical term,to develop or increase in size,87,,,,,,
growth,NOUN,technical term,the process of increasing in size or developing,87,,,,,,
happiness,NOUN,higher-level concept,a state of well-being and contentment,87,,,,,,
harmonious,ADJ,higher-level concept,"characterized by agreement, balance, and peace",87,,,,,,
love,NOUN,higher-level concept,a deep feeling of affection and care,87,,,,,,
member,NOUN,organization name,someone who belongs to a group,87,,,,,,
natural,ADJ,higher-level concept,existing in or caused by nature,87,,,,,,
necessary,ADJ,technical term,essential or required for something to happen,87,,,,,,
particularly,ADV,higher-level concept,to a greater extent or degree than others,87,,,,,,
personality,NOUN,Technical Term,Psychological characteristics and traits of an individual,87,,,,,,
proclaim,VERB,Technical Term,To formally announce or declare something authoritative,87,,,,,,
protection,NOUN,Technical Term,"Measures taken to safeguard from harm, danger, or risk",87,,,,,,
provide,VERB,Technical Term,To supply or make available something necessary,87,,,,,,
recall,VERB,Technical Term,To bring back to mind or remembrance,87,,,,,,
recognize,VERB,Technical Term,To identify or acknowledge something or someone,87,,,,,,
responsibility,NOUN,Technical Term,The obligation or duty to carry out a task or action,87,,,,,,
society,NOUN,Organization Name,A group of people living together in an organized community,87,,,,,,
special,ADJ,Technical Term,Distinct or unusual in a particular way,87,,,,,,
technology,NOUN,Technical Term,The application of scientific knowledge for practical purposes,87,,,,,,
the United Nations,DET,ORG,International organization,87,,,,,,
the Universal Declaration of Human Rights,DET,LAW,Fundamental document outlining human rights,87,,,,,,
understanding,NOUN,,"Cognitive process, comprehension",87,,,,,,
wealth,NOUN,,"Financial resources, prosperity",87,,,,,,
well-being,NOUN,,"State of happiness, health, contentment",87,,,,,,
academic,ADJ,technical term,Education,88,,,,,,
accord,VERB,,Agreement,88,,,,,,
afford,VERB,,Provide,88,,,,,,
assistance,NOUN,,Help,88,,,,,,
assume,VERB,,Accept responsibility,88,,,,,,
atmosphere,NOUN,,Feelings or mood surrounding a situation,88,,,,,,
care,NOUN,,Attention and protection,88,,,,,,
child,NOUN,individual name,A young person,88,,,,,,
childhood,NOUN,,The period of a person's life when they are a child,88,,,,,,
community,NOUN,organization name,A group of people living in the same place or sharing common interests.,88,,,,,,
competitive,ADJ,technical term,Describing a setting that emphasizes striving for success relative to others,88,,,,,,
consider,VERB,organization name,To think carefully about something before making a decision,88,,,,,,
convince,VERB,individual name,To persuade someone to believe or do something,88,,,,,,
development,NOUN,technical term,"The process of growing or changing, especially over time",88,,,,,,
disciplined,ADJ,individual name,Controlled by rules and regulations,88,,,,,,
entitle,VERB,Organization Name,To give someone a legal right or a particular privilege.,88,,,,,,
environment,NOUN,organization name,"The surroundings or conditions in which a person, animal, or plant lives",88,,,,,,
family,NOUN,organization name,A group of people who live together and are related to each other,88,,,,,,
full,ADJ,technical term,Complete or total,88,,,,,,
fully,ADV,technical term,As much as possible; entirely,88,,,,,,
fundamental,ADJ,technical term,Basis of a concept or system,88,,,,,,
group,NOUN,organization name,A set of related factors or elements considered together,88,,,,,,
growth,NOUN,technical term,The process of developing or increasing in size or importance,88,,,,,,
happiness,NOUN,abstract concept,A state of well-being and positive emotions,88,,,,,,
harmonious,ADJ,abstract concept,"Characterized by agreement, balance, and beauty",88,,,,,,
ideal,ADJ,abstract concept,Perfectly envisioned or formulated; representing the best possible,88,,,,,,
love,NOUN,abstract concept,A deep and tender feeling of affection for someone or something,88,,,,,,
member,NOUN,organization name,An individual who belongs to a group or organization,88,,,,,,
natural,ADJ,abstract concept,Existing in nature; not artificial or created,88,,,,,,
grow,VERB,Technical Term,Child Development,88,,,,,,
necessary,ADJ,Technical Term,Essential requirement,88,,,,,,
particularly,ADV,Technical Term,Specifically or emphasized aspects,88,,,,,,
personality,NOUN,Technical Term,"Character, temperament",88,,,,,,
proclaim,VERB,Organization Name,To formally declare or announce,88,,,,,,
protection,NOUN,Technical Term,"Safeguard, defense",88,,,,,,
recall,VERB,Organizational Name,"Remember, retrieve from memory",88,,,,,,
recognize,VERB,Technical Term,To identify or acknowledge,88,,,,,,
responsibility,NOUN,Technical Term,"Duty, accountability",88,,,,,,
society,NOUN,Organization Name,"Community, human interaction",88,,,,,,
special,ADJ,Technical Term,"Unique, distinctive",88,,,,,,
strict,ADJ,Technical Term,Discipline,88,,,,,,
text,NOUN,Technical Term,Written or spoken communication,88,,,,,,
the United Nations,DET,Organization Name,International Organization,88,,,,,,
the Universal Declaration of Human Rights,DET,LAW,Set of principles regarding human rights,88,,,,,,
understanding,NOUN,Technical Term," comprehension, knowledge",88,,,,,,
well-being,NOUN,Technical Term,state of being healthy and happy,88,,,,,,
understand,VERB,,,88,,,,,,
afford,VERB,technical term,to provide resources or conditions necessary for something to occur,89,,,,,,
assistance,NOUN,technical term,"act of helping someone, especially by providing financial or practical support",89,,,,,,
assume,VERB,technical term,"to take on a role, responsibility, or obligation",89,,,,,,
atmosphere,NOUN,technical term,the emotional or social climate of a place or situation,89,,,,,,
care,NOUN,technical term,attention and protection given to someone or something that needs it,89,,,,,,
child,NOUN,organization name,a person below the age of adulthood,89,,,,,,
childhood,NOUN,technical term,the period of life between birth and adolescence,89,,,,,,
community,NOUN,organization name,a group of people living in the same place or having a particular characteristic in common,89,,,,,,
convince,VERB,technical term,to persuade someone to believe something,89,,,,,,
development,NOUN,technical term,"the process of growing or changing over time, particularly intellectual, social, or emotional growth",89,,,,,,
entitle,VERB,technical term,"Right, entitlement",89,,,,,,
environment,NOUN,technical term,Setting for development and well-being,89,,,,,,
family,NOUN,organization name,Unit providing care and support,89,,,,,,
full,ADJ,,"Complete, comprehensive",89,,,,,,
fully,ADV,,"Completely, totally",89,,,,,,
fundamental,ADJ,technical term,"Essential, foundational",89,,,,,,
group,NOUN,organization name,Collection of related individuals,89,,,,,,
grow,VERB,,"Develop, increase",89,,,,,,
growth,NOUN,technical term,Process of development and expansion,89,,,,,,
happiness,NOUN,technical term,"Positive emotional state, well-being",89,,,,,,
harmonious,ADJ,Technical Term,Positive Social State,89,,,,,,
help,VERB,Technical Term,Provide Assistance,89,,,,,,
increase,VERB,Technical Term,Expansion or Growth,89,,,,,,
individual,ADJ,Individual Name,Person,89,,,,,,
love,NOUN,Technical Term,Positive Emotion,89,,,,,,
member,NOUN,Individual Name,Part of a Group,89,,,,,,
natural,ADJ,Technical Term,Existing in Nature,89,,,,,,
necessary,ADJ,Technical Term,Required or Essential,89,,,,,,
particularly,ADV,Technical Term,Emphasis on Specificity,89,,,,,,
personality,NOUN,Technical Term,Character Traits,89,,,,,,
proclaim,VERB,Technical Term,"Declaration, Announcement",89,,,,,,
promote,VERB,Technical Term,"Advancement, Support",89,,,,,,
protection,NOUN,Technical Term,"Safeguard, Defense",89,,,,,,
provide,VERB,Technical Term,"Offer, Deliver",89,,,,,,
purpose,NOUN,Technical Term,"Objective, Intention",89,,,,,,
recall,VERB,Technical Term,"Remember, Acknowledge",89,,,,,,
recognize,VERB,Technical Term,"Identify, Acknowledge",89,,,,,,
reduce,VERB,Technical Term,"Decrease, Minimize",89,,,,,,
responsibility,NOUN,Technical Term,"Duty, Obligation",89,,,,,,
size,NOUN,Technical Term,"Magnitude, Extent",89,,,,,,
society,NOUN,Technical Term,Social Structure,89,,,,,,
